index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
851,R_to_P,bosque60,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,41851,74,349.935621469,60.69234686996788,43.648480422000006,53.81449715141207,7.8929111090000035,20.126607215999996,20.12755790632218,0.25158442463725805,44.293118331,44.29617847688496,recovered
851,P_to_R,bosque75,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,59563,73,597.878531068,147.70628205128014,131.27292595000003,161.81971606239676,21.958234981999986,41.00213368200001,41.00359960272908,0.15117012802511454,75.962908558,75.96696433704346,recovered
852,R_to_P,bosque81,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,67727,84,1008.2211673309998,171.8104335302487,120.56449251800002,150.22705165017396,19.617608151,45.544617947999996,45.54548515751958,0.47260386403650045,94.241518568,94.24361960310489,recovered
852,P_to_R,bosque81,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,timeout,False,,,,,,,,,,,,,,unknown
853,R_to_P,bosque62,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,3937,45,17.338780425,2.825625023804605,0.9837636589999998,1.2568017188459635,0.26861791599999996,0.9514405529999999,0.9515229882672429,0.06936695706099272,1.9154659040000002,1.9156391452997923,recovered
853,P_to_R,bosque63,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,17898,33,36.85769363600001,10.930006502196193,6.186679906999999,7.368783601559699,1.438131457,4.110648675,4.111011221073568,0.14678476098924875,8.732439109,8.732833743095398,recovered
854,R_to_P,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,45483,56,267.71336597000004,62.36318462411873,50.55183706699999,64.85462153842673,9.122158962999999,19.439625904,19.44076923560351,0.09425616916269064,38.582725824,38.58368539903313,recovered
854,P_to_R,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,16757,59,141.13606319599998,25.015737995970994,13.324536831000009,44.43964504566975,2.4323879730000013,6.674477597000001,6.674760274589062,0.13544549886137247,13.74807854,13.74839069135487,recovered
855,R_to_P,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,8786,41,29.374717230999995,7.163971805013716,3.4569000919999984,4.993074814323336,0.8644296769999997,2.1759683269999996,2.1761459689587355,0.07667828723788261,4.750784195,4.750937879085541,recovered
855,P_to_R,bosque83,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,25097,43,102.871580594,24.349959237966686,18.251903899999995,21.069428445305675,3.432176506000001,7.783671857,7.784071296453476,0.13739487808197737,15.295644973000002,15.2959463307634,recovered
