step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
pr7.V.dodh_ts25-singlet,27,27,2,2,-1,1,0(V)-2(O);17(C)-20(O),6(V)-7(O);14(O)-15(C),0.01,
pr7.V.dodh_ts25-triplet,27,27,2,2,-1,3,0(V)-2(O);17(C)-20(O),6(V)-7(O);14(O)-15(C),0.01,
pr7.V.dodh_ts32,31,31,2,2,-1,1,10(V)-13(O);10(V)-15(P),0(V)-1(O);17(O)-18(P),0.27,
pr7.V.dodh_ts45-singlet,41,41,2,2,-1,1,0(V)-1(O);31(C)-34(O),6(V)-7(O);14(O)-15(C),0.28,
pr7.V.dodh_ts45-triplet,41,41,2,2,-1,3,0(V)-1(O);31(C)-34(O),6(V)-7(O);14(O)-15(C),0.28,
pr7.V.dodh_ts56-singlet,27,27,2,2,-1,1,6(V)-7(O);17(O)-26(H),6(V)-17(O);24(O)-26(H),0.01,
pr7.V.dodh_ts56-triplet,27,27,2,2,-1,3,6(V)-7(O);17(O)-26(H),6(V)-17(O);24(O)-26(H),0.01,
pr7.V.dodh_ts61,24,24,2,3,-1,1,12(O)-19(C);17(O)-18(C),0(V)-1(O);0(V)-2(O);18(C)-19(C),0.01,
pr7.V.dodh_ts67,24,24,1,1,-1,3,17(O)-18(C),0(V)-15(O),0.01,
pr7.V.dodh_ts71,24,24,1,2,-1,3,16(O)-17(C),0(V)-2(O);18(C)-19(C),0.01,
pr7.V.dodh_ts81,24,24,2,2,-1,1,0(V)-21(C);1(O)-18(C),0(V)-2(O);18(C)-19(C),0.01,
pr7.V.dodh_ts81-b,24,24,2,2,-1,1,6(V)-9(C);7(O)-8(C),0(V)-1(O);18(C)-19(C),0.01,
pr7.V.dodh_ts910,28,28,2,2,-1,1,8(V)-15(O);12(O)-22(H),0(V)-1(O);25(O)-27(H),0.01,
pr7.V.dodh_ts910-water,31,31,2,2,-1,1,11(C)-12(O);15(O)-27(H),11(C)-12(O);28(O)-30(H),0.01,
pr8.ketenes_ts1prime,63,63,1,0,0,1,0(C)-2(C),,0.06,
pr8.ketenes_ts2prime,63,63,0,1,0,1,,0(C)-18(O),0.07,
pr9.carbene.rearr_ts10,18,18,1,2,0,1,1(C)-16(C),2(C)-16(C);16(C)-17(C),0.03,
pr9.carbene.rearr_ts11,60,60,2,1,0,1,18(C)-22(C);21(C)-22(C),58(C)-59(O),1.02,
pr9.carbene.rearr_ts13a,24,24,1,2,0,1,5(C)-7(C),3(C)-4(C);4(C)-14(C),0.02,
pr9.carbene.rearr_ts33,60,58,5,19,0,1,1(C)-17(C);16(C)-17(C);18(C)-19(C);20(C)-21(C);51(C)-55(H),2(C)-16(C);16(C)-17(C);17(C)-21(C);18(C)-22(C);18(C)-24(C);19(C)-20(C);20(C)-21(C);20(C)-49(C);49(C)-50(C);49(C)-51(C);50(C)-52(C);50(C)-53(H);51(C)-54(C);51(C)-55(H);52(C)-56(C);52(C)-57(H);54(C)-56(C);54(C)-58(H);56(C)-59(H),0.09,
pr9.carbene.rearr_ts39-endo,40,40,1,2,0,1,36(C)-38(C),6(C)-26(C);6(C)-27(C),0.05,
pr9.carbene.rearr_ts41a-endo,40,40,1,2,0,1,6(C)-36(C),5(C)-6(C);5(C)-36(C),0.05,
pr9.carbene.rearr_ts42,60,60,1,2,0,1,2(C)-3(C),17(C)-20(C);17(C)-21(C),0.06,
pr9.carbene.rearr_ts47a,40,40,2,2,0,1,3(C)-4(C);36(C)-38(C),6(C)-36(C);6(C)-38(C),0.05,
